Temp	Sublattice_Magnetism_Incorrect_Glauber	Sublattice_Magnetism_Incorrect_Glauber	Nope	Sublattice_Susceptibility_Incorrect_Glauber	Sublattice_Susceptibility_Incorrect_Glauber	Nope	Energy_Incorrect_Glauber	Heat_Capacity_Incorrect_Glauber	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect_Glauber	Prob1_Incorrect	Prob0_Incorrect	Prob_neg1_Incorrect
9.849	-0.00156222	-0.00115556	0	0.000123573	0.000109685	0	-46.023	4.63051	0.47015	1.09852	0.250657	0.252016	0.497328
9.848	-0.00291111	0.00119333	0	0.000116517	0.000122205	0	-45.279	4.35155	0.441872	1.09852	0.25078	0.251639	0.497581
9.847	0.000357778	0.000422222	0	0.000116512	0.000113574	0	-47.286	4.94851	0.50254	1.09852	0.251608	0.251218	0.497174
9.846	0.00129333	0.000184444	0	0.000108104	0.000115859	0	-46.286	4.77834	0.485308	1.09852	0.251641	0.250902	0.497457
9.845	-0.000986667	0.000424444	0	0.000114611	0.000110055	0	-47.218	5.15214	0.523326	1.09852	0.251124	0.251406	0.49747
9.844	-0.000491111	-0.000248889	0	0.00010637	0.000111818	0	-46.138	5.09186	0.517255	1.09852	0.251128	0.251498	0.497374
9.843	8.44444e-005	-0.00251778	0	0.000115956	0.000114258	0	-45.902	4.8783	0.495611	1.09852	0.250721	0.251938	0.497341
9.842	-0.00182444	0.000271111	0	0.000122562	0.000121183	0	-46.181	5.01042	0.509086	1.09852	0.250877	0.251653	0.49747
9.841	-0.000684444	-0.00154	0	0.000120865	0.000116419	0	-45.473	4.50776	0.458059	1.09852	0.250687	0.251799	0.497514
9.84	-0.00179111	0.000824444	0	0.00011492	0.000121597	0	-45.357	4.58924	0.466386	1.09852	0.251087	0.25157	0.497343
9.839	-0.00161556	-0.00199111	0	0.000124221	0.000119632	0	-46.678	4.44217	0.451486	1.09851	0.250398	0.252201	0.497401
9.838	-0.000431111	0.000884444	0	0.000121863	0.000118971	0	-47.299	4.75875	0.483711	1.09851	0.251521	0.251294	0.497184
9.837	0.000535556	-0.00146	0	0.000118252	0.000115551	0	-46.843	4.78831	0.486765	1.09851	0.251053	0.251516	0.497431
9.836	-0.00201333	0.00135111	0	0.000118566	0.000106192	0	-47.184	4.62436	0.470146	1.09851	0.251173	0.251504	0.497322
9.835	0.000217778	-0.000275556	0	0.000118388	0.000122195	0	-46.543	4.88334	0.496527	1.09851	0.25112	0.251149	0.497731
9.834	-0.000888889	0.00171111	0	0.000111047	0.000118466	0	-47.365	5.217	0.530507	1.09851	0.251562	0.251151	0.497287
9.833	-0.000131111	-9.33333e-005	0	0.000108771	0.000125189	0	-46.191	5.05721	0.51431	1.09851	0.251261	0.251373	0.497366
9.832	0.000962222	0.00111333	0	0.000114873	0.000120253	0	-46.168	4.56317	0.464114	1.09851	0.251744	0.250707	0.497549
9.831	0.000406667	-0.00138444	0	0.000123421	0.000112254	0	-47.178	4.58165	0.466042	1.09851	0.250964	0.251453	0.497582
9.83	0.000537778	-0.000828889	0	0.000123582	0.000114881	0	-46.089	4.9552	0.504089	1.09851	0.251146	0.251291	0.497563
9.829	-0.00265778	0.00143333	0	0.00012199	0.00011418	0	-47.345	4.65937	0.474043	1.09851	0.251023	0.251636	0.497341
