Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
7.762	0.0317298	0.0318236	0.0330124	7.40608e-005	7.29409e-005	7.97304e-005	-108.59	11.4939	1.48079	0.722145	0.29589	0.29589	0.40822
7.763	0.0324672	0.0322367	0.0321285	7.80357e-005	7.60516e-005	7.73506e-005	-105.699	11.5065	1.48222	0.722147	0.296259	0.296259	0.407482
7.764	0.0313543	0.032169	0.0319232	7.33158e-005	7.59209e-005	7.78905e-005	-108.513	11.2878	1.45386	0.722148	0.295596	0.295596	0.408808
7.765	0.0321211	0.0323862	0.0316999	7.31321e-005	7.48065e-005	7.30697e-005	-106.312	12.1974	1.57082	0.72215	0.295807	0.295807	0.408385
7.766	0.0325465	0.0335845	0.0337264	8.03933e-005	8.36842e-005	8.2756e-005	-106.094	11.732	1.51069	0.722152	0.295858	0.295858	0.408284
7.767	0.0320046	0.0331485	0.0321628	8.04017e-005	8.05946e-005	7.71312e-005	-106.016	11.3279	1.45847	0.722153	0.29608	0.29608	0.407841
7.768	0.0335552	0.032807	0.0328009	8.16452e-005	8.22173e-005	8.25899e-005	-105.41	12.0124	1.54639	0.722155	0.296224	0.296224	0.407553
7.769	0.0313542	0.032367	0.0317509	7.3295e-005	7.53402e-005	7.54884e-005	-106.032	12.2958	1.58268	0.722157	0.296153	0.296153	0.407693
7.77	0.0328286	0.0330831	0.0314037	7.99003e-005	7.71437e-005	7.45149e-005	-106.993	13.0762	1.68291	0.722158	0.295974	0.295974	0.408052
7.771	0.0321707	0.0324077	0.0327583	7.67636e-005	7.75343e-005	7.9528e-005	-107.035	13.0007	1.67297	0.72216	0.295996	0.295996	0.408008
7.772	0.0329925	0.0323417	0.0320415	7.9328e-005	7.58764e-005	7.61433e-005	-105.29	12.9986	1.67249	0.722162	0.295931	0.295931	0.408138
