Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Glauber	Heat_Capacity_Glauber	Heat_Capacity_Over_Temp	Entropy_Glauber	Prob1	Prob0	Prob_-1
9.939	0.0404333	0.0398533	0.0406433	9.04798e-005	8.2709e-005	9.39528e-005	-106.742	10.1787	1.02412	6.55392e-005	0.335249	0.335114	0.329637
9.938	0.0369067	0.0374767	0.0382067	7.78145e-005	8.23393e-005	8.47483e-005	-108.4	9.56583	0.962551	6.66771e-005	0.335248	0.335293	0.329459
9.937	0.0401933	0.04097	0.0383	8.92094e-005	9.23801e-005	8.37654e-005	-107.015	9.85335	0.991582	6.77466e-005	0.335249	0.335428	0.329323
9.936	0.0391233	0.0387733	0.0385767	9.00271e-005	8.97841e-005	8.47185e-005	-108.326	9.97752	1.00418	6.88483e-005	0.335352	0.335543	0.329104
9.935	0.0388067	0.03662	0.03824	8.46903e-005	7.46875e-005	8.30322e-005	-106.586	10.1711	1.02376	6.99641e-005	0.335026	0.335608	0.329367
9.934	0.03775	0.0386433	0.0390033	8.28327e-005	8.67675e-005	8.44861e-005	-106.321	9.35769	0.941986	7.11016e-005	0.335287	0.33545	0.329263
9.933	0.0368467	0.0384167	0.0364567	7.41312e-005	8.50379e-005	7.92678e-005	-107.546	10.072	1.01399	7.21483e-005	0.335359	0.335019	0.329622
9.932	0.0396967	0.0393733	0.03755	9.01538e-005	9.13665e-005	8.92656e-005	-106.923	9.89904	0.996681	7.32749e-005	0.335779	0.335566	0.328656
9.931	0.03742	0.03885	0.0402367	8.37657e-005	8.08422e-005	9.30419e-005	-107.619	9.45239	0.951807	7.43823e-005	0.33518	0.335013	0.329807
9.93	0.0384867	0.03949	0.0369533	8.15552e-005	8.73376e-005	7.83357e-005	-108.039	9.86123	0.993074	7.54399e-005	0.335263	0.335358	0.329379
