Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
0.076	0.698657	0.403533	0.511767	0.330468	0.753971	1.03285	-900	0	0	0	0.453851	0.455266	0.0908833
0.077	0.52102	0.568217	0.517553	0.84186	0.807964	0.852454	-900	0	0	0	0.45456	0.45465	0.09079
0.078	0.541	0.53917	0.50989	0.620934	0.823687	1.0238	-900	0	0	0	0.454759	0.454588	0.0906533
0.079	0.609137	0.51273	0.50999	0.935316	0.827172	0.724694	-900	0	0	0	0.456814	0.452456	0.09073
0.08	0.642813	0.45207	0.48899	0.473983	0.601744	1.08516	-900	0	0	0	0.455881	0.45347	0.0906489
0.081	0.394737	0.496333	0.74538	0.897196	0.978846	0.147932	-900	0	0	0	0.455043	0.4539	0.0910567
0.082	0.52557	0.659447	0.431787	0.774506	0.586619	0.534594	-900	0	0	0	0.455683	0.453936	0.0903811
0.083	0.5712	0.668903	0.38444	0.747921	0.373443	0.603607	-900	0	0	0	0.45466	0.454419	0.0909211
0.084	0.495057	0.648507	0.487923	0.83577	0.600513	0.826045	-900	0	0	0	0.455434	0.453563	0.0910022
0.085	0.530473	0.472223	0.58249	0.929443	0.710138	0.758445	-900	0	0	0	0.453088	0.455912	0.091
0.086	0.76666	0.429543	0.41457	0.111158	0.640041	0.869053	-900	0	0	0	0.456554	0.452663	0.0907822
0.087	0.52865	0.38027	0.69661	0.749172	0.447635	0.360821	-900	0	0	0	0.455283	0.454087	0.09063
0.088	0.595307	0.637377	0.36979	0.805195	0.389424	0.656477	-900	0	0	0	0.454999	0.45409	0.0909111
0.089	0.685647	0.520477	0.427327	0.347254	0.863126	0.664135	-900	0	0	0	0.455031	0.45399	0.0909789
0.09	0.292703	0.676297	0.651163	0.37803	0.274524	0.421031	-900	0	0	0	0.455283	0.454051	0.0906656
0.091	0.285003	0.539313	0.776997	0.276951	0.284411	0.0811032	-900	0	0	0	0.45261	0.456903	0.0904867
0.092	0.668823	0.408313	0.526527	0.618674	0.711001	0.626964	-900	0	0	0	0.45304	0.455837	0.0911233
0.093	0.510783	0.6002	0.529507	0.510622	0.74149	0.984653	-900	0	0	0	0.454179	0.454742	0.0910789
0.094	0.666477	0.436563	0.44677	0.371769	0.808993	0.671157	-900	0	0	0	0.454742	0.454859	0.0903989
0.095	0.471193	0.727127	0.38831	0.474221	0.177046	0.582153	-900	0	0	0	0.456131	0.453201	0.0906678
0.096	0.577117	0.41296	0.630397	0.533303	0.528121	0.641256	-900	0	0	0	0.455558	0.4535	0.0909422
0.097	0.68045	0.233933	0.68807	0.362021	0.322772	0.199893	-900	0	0	0	0.454367	0.455044	0.0905889
0.098	0.718807	0.513557	0.367647	0.320809	0.457076	0.291114	-900	0	0	0	0.452906	0.456111	0.0909833
0.099	0.75045	0.40186	0.442223	0.108824	0.634145	0.557695	-900	0	0	0	0.453053	0.456082	0.0908644
0.1	0.51964	0.69164	0.357827	0.488226	0.317733	0.64419	-900	0	0	0	0.45578	0.453878	0.0903422
0.101	0.329293	0.509847	0.74664	0.662684	0.460986	0.0946508	-900	0	0	0	0.453387	0.456084	0.0905289
0.102	0.312423	0.65352	0.620577	0.741772	0.397721	0.339211	-900	0	0	0	0.454656	0.454556	0.0907889
0.103	0.72262	0.516593	0.312157	0.128341	0.662744	0.540789	-900	0	0	0	0.455162	0.454299	0.0905389
0.104	0.726267	0.308627	0.554243	0.120737	0.488082	0.550393	-900	0	0	0	0.455461	0.454027	0.0905122
0.105	0.6156	0.435883	0.52049	0.666912	0.587444	0.40995	-900	0	0	0	0.453021	0.456594	0.0903844
0.106	0.687363	0.285207	0.636677	0.212425	0.374425	0.533123	-900	0	0	0	0.454122	0.455113	0.0907644
0.107	0.47107	0.597333	0.499043	0.891625	0.367696	0.594989	-900	0	0	0	0.456308	0.453448	0.0902444
0.108	0.626133	0.501887	0.47254	0.455782	0.649319	0.492374	-900	0	0	0	0.454406	0.455026	0.0905689
0.109	0.624703	0.316743	0.644443	0.547051	0.461611	0.264185	-900	0	0	0	0.455603	0.453878	0.0905189
0.11	0.469367	0.696533	0.43856	0.624403	0.405771	0.562887	-900	0	0	0	0.453256	0.455929	0.0908156
0.111	0.47204	0.720687	0.418487	0.55194	0.221983	0.493424	-900	0	0	0	0.455832	0.453548	0.09062
0.112	0.617167	0.477477	0.49747	0.712314	0.545283	0.59732	-900	0	0	0	0.453388	0.456026	0.0905867
0.113	0.404287	0.511753	0.694377	0.590004	0.459038	0.289181	-900	0	0	0	0.455101	0.454253	0.0906456
0.114	0.46248	0.717403	0.413773	0.600639	0.12877	0.612892	-900	0	0	0	0.454834	0.454329	0.0908367
0.115	0.675833	0.596493	0.277607	0.261917	0.363307	0.367316	-900	0	0	0	0.454109	0.455307	0.0905844
0.116	0.46106	0.372517	0.751827	0.532097	0.62796	0.0880214	-900	0	0	0	0.453182	0.455857	0.0909611
0.117	0.805287	0.35262	0.483453	0.0433138	0.355756	0.345079	-900	0	0	0	0.457	0.451853	0.0911467
0.118	0.49081	0.311913	0.751707	0.444847	0.530115	0.0885077	-900	0	0	0	0.456147	0.453372	0.0904811
0.119	0.5927	0.61829	0.38574	0.549759	0.427804	0.422236	-900	0	0	0	0.454558	0.455086	0.0903567
0.12	0.545703	0.70517	0.349363	0.435662	0.257681	0.383203	-900	0	0	0	0.453491	0.455897	0.0906122
0.121	0.680183	0.518667	0.353913	0.178357	0.388092	0.608488	-899.99	0.676183	5.58829	0	0.454606	0.454927	0.0904678
0.122	0.51645	0.60214	0.49153	0.61662	0.441367	0.563881	-899.986	0.927439	7.60196	6.20921e-006	0.454589	0.454793	0.0906178
0.123	0.524613	0.663953	0.416503	0.717434	0.237956	0.473047	-899.985	1.1088	9.01462	1.46558e-005	0.455162	0.454061	0.0907767
0.124	0.575693	0.452747	0.564343	0.772249	0.484894	0.41895	-899.982	1.14958	9.27084	2.46721e-005	0.455914	0.453384	0.0907011
0.125	0.575677	0.432247	0.594993	0.407966	0.458794	0.650786	-899.993	0.444864	3.55891	3.4973e-005	0.455371	0.453908	0.0907211
0.126	0.543623	0.51053	0.55881	0.503242	0.690099	0.567006	-899.98	1.23457	9.79816	3.89273e-005	0.454078	0.455281	0.0906411
