Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob1	Prob0	Prob_-1
9.949	0.0332731	0.0310278	0.0322917	6.30445e-005	5.77484e-005	5.98461e-005	-155.688	12.3466	1.24099	5.47775e-005	0.335275	0.335457	0.329269
9.948	0.0312384	0.0312662	0.0315833	5.96326e-005	6.12808e-005	5.811e-005	-154.608	12.6186	1.26846	5.57351e-005	0.335275	0.335356	0.329369
9.947	0.0315903	0.0326296	0.0323356	6.01031e-005	5.89818e-005	5.44284e-005	-152.78	15.2615	1.53428	5.67138e-005	0.335233	0.335494	0.329273
9.946	0.0328356	0.0338426	0.0325694	6.08281e-005	5.92403e-005	5.84578e-005	-154.391	13.475	1.35482	5.78977e-005	0.334931	0.335104	0.329965
9.945	0.0320671	0.0302662	0.0319514	6.26686e-005	5.18161e-005	6.00914e-005	-154.506	14.7799	1.48616	5.89431e-005	0.335275	0.335666	0.329059
9.944	0.0336389	0.0313032	0.0328704	5.98198e-005	5.98384e-005	5.27916e-005	-156.147	13.1027	1.31765	6.00898e-005	0.335686	0.334755	0.329559
9.943	0.0311875	0.0310694	0.0316134	5.83084e-005	5.42422e-005	5.51332e-005	-155.701	14.4115	1.44941	6.11065e-005	0.334928	0.335541	0.329531
9.942	0.0317917	0.030581	0.0310556	5.75306e-005	5.38157e-005	5.6542e-005	-155.028	14.474	1.45585	6.22249e-005	0.335448	0.335235	0.329317
9.941	0.0326181	0.0317963	0.0312292	6.21663e-005	5.69085e-005	5.95667e-005	-153.854	13.327	1.34061	6.33482e-005	0.335177	0.335153	0.32967
9.94	0.0329329	0.0322361	0.0337292	5.81741e-005	5.79731e-005	6.29759e-005	-153.383	14.5612	1.46491	6.43826e-005	0.335031	0.335401	0.329568
9.939	0.0321134	0.0312014	0.031331	5.75122e-005	5.54251e-005	5.689e-005	-153.368	14.6423	1.47322	6.5513e-005	0.335482	0.335296	0.329221
9.938	0.032787	0.0309282	0.0318032	6.18359e-005	5.47239e-005	5.47865e-005	-156.383	13.6649	1.37501	6.66497e-005	0.335238	0.33531	0.329452
9.937	0.0334769	0.0309907	0.032669	6.37259e-005	5.61307e-005	5.81339e-005	-154.794	13.6392	1.37257	6.77107e-005	0.335611	0.335106	0.329283
9.936	0.032544	0.0323403	0.0326505	6.45827e-005	5.3189e-005	5.83326e-005	-155.709	13.8493	1.39385	6.87698e-005	0.335101	0.335292	0.329607
9.935	0.0308866	0.0321944	0.0321157	6.0543e-005	5.95162e-005	6.18605e-005	-154.758	13.9945	1.40861	6.98453e-005	0.335282	0.335296	0.329422
9.934	0.0317685	0.0320949	0.0322454	6.03055e-005	5.79349e-005	5.99233e-005	-152.807	13.5391	1.36291	7.09322e-005	0.335162	0.335299	0.329539
9.933	0.0332245	0.031537	0.0312894	6.45315e-005	6.01588e-005	5.60154e-005	-153.994	14.5792	1.46775	7.19838e-005	0.335343	0.335245	0.329412
9.932	0.0299051	0.0322014	0.0319352	5.59416e-005	5.65656e-005	5.3149e-005	-156.167	14.5549	1.46546	7.31163e-005	0.335272	0.33537	0.329358
9.931	0.0327106	0.0327662	0.0314352	6.17871e-005	6.45632e-005	5.65575e-005	-155.514	13.3032	1.33957	7.42471e-005	0.335493	0.33545	0.329057
9.93	0.0316829	0.032081	0.0311551	6.06219e-005	5.99614e-005	5.66521e-005	-153.884	14.9669	1.50724	7.52807e-005	0.334944	0.335239	0.329817
9.929	0.0321389	0.0324167	0.0315486	6.28101e-005	6.09393e-005	5.38132e-005	-153.62	13.5163	1.3613	7.64437e-005	0.335465	0.335312	0.329223
9.928	0.0332222	0.0308866	0.0335602	6.49881e-005	5.93767e-005	6.60729e-005	-156.766	13.174	1.32696	7.74941e-005	0.335438	0.335542	0.329019
9.927	0.0328542	0.0314745	0.0317083	5.9723e-005	5.85273e-005	6.04781e-005	-155.686	14.2888	1.43939	7.8518e-005	0.33512	0.335295	0.329585
9.926	0.0321134	0.0325023	0.0319074	5.74256e-005	5.90604e-005	5.90173e-005	-153.952	13.3889	1.34887	7.96286e-005	0.335403	0.335591	0.329006
9.925	0.0321458	0.033213	0.033088	6.14413e-005	6.03511e-005	6.06149e-005	-155.84	14.2448	1.43525	8.06694e-005	0.335555	0.3356	0.328845
9.924	0.0319745	0.0313148	0.0315972	5.99388e-005	5.7135e-005	6.17441e-005	-152.522	14.4975	1.46085	8.17768e-005	0.335278	0.335098	0.329624
9.923	0.034037	0.0318218	0.0317801	6.47488e-005	5.8712e-005	6.02902e-005	-154.575	14.5667	1.46797	8.2904e-005	0.33536	0.335605	0.329035
9.922	0.0338102	0.032294	0.0331944	6.6043e-005	5.7185e-005	5.96562e-005	-155.302	13.1737	1.32772	8.40367e-005	0.334946	0.335664	0.32939
9.921	0.0327569	0.0331389	0.0323657	6.33467e-005	6.47866e-005	6.03175e-005	-154.258	13.8908	1.40015	8.50612e-005	0.335142	0.335694	0.329164
9.92	0.0327014	0.0338727	0.0330787	5.78222e-005	6.08555e-005	5.85833e-005	-156.836	13.8987	1.40108	8.61416e-005	0.335335	0.335434	0.329231
9.919	0.0311736	0.0326042	0.0326088	5.8834e-005	6.10817e-005	6.02993e-005	-153.564	13.1137	1.32208	8.72226e-005	0.334897	0.335555	0.329549
9.918	0.0323681	0.0324745	0.0312106	5.77787e-005	5.93268e-005	5.49104e-005	-155.567	14.0552	1.41714	8.82428e-005	0.335402	0.335323	0.329275
9.917	0.0308171	0.031419	0.031213	5.59995e-005	5.85734e-005	5.50867e-005	-155.987	14.6061	1.47283	8.93362e-005	0.335557	0.33523	0.329213
9.916	0.0318495	0.0314931	0.032081	5.85275e-005	5.74771e-005	5.96051e-005	-156.464	15.0216	1.51488	9.04727e-005	0.335241	0.33566	0.3291
9.915	0.0330093	0.0335162	0.0324259	6.06441e-005	6.34657e-005	6.01034e-005	-153.555	14.6193	1.47446	9.16416e-005	0.33548	0.335005	0.329515
9.914	0.0328889	0.0316667	0.0323287	6.31907e-005	5.56124e-005	6.29237e-005	-155.102	15.3137	1.54465	9.27793e-005	0.335381	0.335472	0.329147
9.913	0.0326597	0.0323681	0.0325671	6.00037e-005	6.16305e-005	6.28692e-005	-154.555	13.8415	1.3963	9.39711e-005	0.335388	0.335318	0.329294
9.912	0.0338009	0.0323958	0.0324352	6.6229e-005	5.88172e-005	5.29781e-005	-153.634	13.6328	1.37539	9.50485e-005	0.335846	0.33502	0.329133
9.911	0.0318241	0.0317778	0.032706	5.93483e-005	5.78094e-005	5.97602e-005	-153.846	13.7197	1.38429	9.61098e-005	0.335398	0.335198	0.329404
9.91	0.0322755	0.0312546	0.0337338	6.4429e-005	5.63012e-005	6.5366e-005	-151.606	14.2558	1.43853	9.71779e-005	0.335316	0.335257	0.329427
9.909	0.0321065	0.031912	0.032912	6.0732e-005	5.71528e-005	6.5446e-005	-156.859	13.7421	1.38683	9.82879e-005	0.335258	0.335374	0.329367
9.908	0.0321042	0.0325648	0.0331551	6.28272e-005	5.61663e-005	5.66126e-005	-155.329	14.159	1.42905	9.9358e-005	0.335299	0.33602	0.328681
9.907	0.0319444	0.0315833	0.0326759	5.87641e-005	5.65764e-005	6.52332e-005	-154.674	14.7502	1.48887	0.000100461	0.335484	0.335348	0.329168
9.906	0.0330972	0.0328866	0.0320949	5.95507e-005	6.21346e-005	5.80186e-005	-155.563	14.0355	1.41687	0.000101609	0.33556	0.335514	0.328926
9.905	0.0326898	0.0322963	0.0323171	5.94658e-005	5.57874e-005	6.26967e-005	-157.147	14.5351	1.46745	0.000102703	0.335366	0.335062	0.329572
9.904	0.0317106	0.0326898	0.0318912	5.96986e-005	5.69506e-005	5.801e-005	-154.272	13.2036	1.33316	0.000103835	0.335296	0.335541	0.329164
9.903	0.0318565	0.0318843	0.0313958	5.38301e-005	6.31311e-005	5.95281e-005	-155.424	13.9919	1.4129	0.000104864	0.335463	0.335373	0.329164
9.902	0.0317338	0.0315116	0.0306597	5.53761e-005	5.54166e-005	5.47736e-005	-155.102	13.9976	1.41361	0.000105954	0.335105	0.335257	0.329638
9.901	0.0325255	0.0313102	0.0325718	6.08814e-005	5.90862e-005	6.56999e-005	-151.754	14.4617	1.46063	0.000107045	0.335165	0.335164	0.329671
9.9	0.0319051	0.031588	0.0330718	5.78887e-005	5.4909e-005	6.15469e-005	-154.267	13.9255	1.40661	0.000108172	0.33527	0.335304	0.329426
9.899	0.0326551	0.032	0.032162	5.83447e-005	5.81539e-005	5.5313e-005	-157.793	14.4039	1.45509	0.000109257	0.335283	0.335637	0.329079
9.898	0.0313843	0.0311366	0.0316412	6.14987e-005	5.89732e-005	5.7833e-005	-155.402	14.0115	1.41558	0.00011038	0.3354	0.335221	0.32938
9.897	0.0308843	0.032037	0.0315185	5.1254e-005	5.8684e-005	5.16143e-005	-155.972	14.147	1.42942	0.000111472	0.335208	0.335492	0.329299
9.896	0.0315556	0.0323889	0.0321111	5.8102e-005	5.7114e-005	6.11489e-005	-154.755	14.1022	1.42504	0.000112575	0.335417	0.335265	0.329318
