Temperature	Magnetism_One	Magnetism_Two	Magnetism_Three	Susceptibility_One	Susceptibility_Two	Susceptibility_Three	Energy_Kawasaki	Heat_Capacity_Kawasaki	Heat_Capacity_Over_Temp	Entropy_Kawasaki	Prob1	Prob0	Prob_-1
5.864	0.0356724	0.0349319	0.0340169	0.000129786	0.000119594	0.000112507	-137.667	20.242	3.45191	0.00766733	0.29745	0.29745	0.405101
5.863	0.0343454	0.033059	0.0335851	0.000112854	0.00010477	0.000104471	-137.332	18.5281	3.16018	0.00767117	0.297663	0.297663	0.404675
5.862	0.0331448	0.0338653	0.0334632	0.000106205	0.000109571	0.000106402	-138.476	19.1627	3.26897	0.00767468	0.29805	0.29805	0.4039
5.861	0.034144	0.0343457	0.0327203	0.000111796	0.000117972	0.000104247	-136.173	19.3516	3.30176	0.00767831	0.298045	0.298045	0.40391
5.86	0.0332077	0.0341176	0.0334499	0.000105737	0.000115675	0.000109698	-135.994	20.0598	3.42318	0.00768198	0.297775	0.297775	0.404449
5.859	0.0340931	0.0332728	0.0337133	0.000111418	0.000105794	0.000108449	-136.595	19.6454	3.35303	0.00768578	0.297827	0.297827	0.404346
5.858	0.0329167	0.0328164	0.0341454	0.000107114	0.000103605	0.000115678	-135.947	20.3881	3.48038	0.00768951	0.298274	0.298274	0.403453
5.857	0.0335993	0.0336125	0.0337065	0.000104151	0.000110205	0.000107813	-137.143	19.4886	3.3274	0.00769338	0.297802	0.297802	0.404396
5.856	0.0341183	0.0328478	0.0337661	0.000113515	0.000105765	0.000111574	-135.061	22.0742	3.7695	0.00769707	0.29827	0.29827	0.40346
5.855	0.0318168	0.0329281	0.0340519	9.94736e-005	0.00010897	0.00011106	-136.709	20.8202	3.55597	0.00770126	0.297777	0.297777	0.404447
5.854	0.0329762	0.0340313	0.0336501	0.000110186	0.000111147	0.000108824	-135.657	20.6165	3.52178	0.00770521	0.298015	0.298015	0.403971
5.853	0.0341685	0.0321659	0.0340202	0.000114247	0.000101308	0.000110852	-138.507	20.776	3.54964	0.00770912	0.297898	0.297898	0.404204
5.852	0.0336098	0.0348645	0.03359	0.000109883	0.000115222	0.000110188	-135.112	19.5848	3.34669	0.00771307	0.298044	0.298044	0.403911
