Temp	Magnetism_1_Incorrect	Magnetism_2_Incorrect	Susceptibility_1_Incorrect	Susceptibility_2_Incorrect	Energy_Incorrect	Heat_Capacity_Incorrect	Heat_Capacity/Temp_Incorrect	Entropy_Incorrect	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
1.803	0.00131285	-0.00131285	0.00679111	0.00679111	-592.213	875.096	485.355	0.826568	0	0	0.354388	0.291225	0.354388	0	0
1.804	-0.0177467	0.0177467	0.00823181	0.00823181	-594.088	763.279	423.103	0.827107	0	0	0.354286	0.291427	0.354286	0	0
1.805	0.0115158	-0.0115158	0.00786593	0.00786593	-596.042	708.346	392.435	0.827577	0	0	0.355006	0.289989	0.355006	0	0
1.806	-0.0173724	0.0173724	0.00980515	0.00980515	-605.683	750.468	415.541	0.828013	0	0	0.355748	0.288505	0.355748	0	0
1.807	0.0274983	-0.0274983	0.0110351	0.0110351	-591.492	823.549	455.755	0.828475	0	0	0.354341	0.291318	0.354341	0	0
1.808	0.00750254	-0.00750254	0.00779733	0.00779733	-596.055	842.03	465.725	0.828981	0	0	0.354954	0.290092	0.354954	0	0
1.809	0.00756063	-0.00756063	0.00623574	0.00623574	-585.204	836.288	462.293	0.829499	0	0	0.353847	0.292306	0.353847	0	0
1.81	-0.0131591	0.0131591	0.00825524	0.00825524	-591.567	875.039	483.447	0.830012	0	0	0.354272	0.291455	0.354272	0	0
1.811	-0.0141485	0.0141485	0.00523857	0.00523857	-581.075	793.106	437.938	0.83055	0	0	0.353122	0.293757	0.353122	0	0
1.812	-0.00473793	0.00473793	0.0072227	0.0072227	-585.206	861.607	475.501	0.831036	0	0	0.353567	0.292866	0.353567	0	0
1.813	0.00445588	-0.00445588	0.0065912	0.0065912	-579.925	759.743	419.053	0.831564	0	0	0.352672	0.294657	0.352672	0	0
1.814	0.0106446	-0.0106446	0.00724478	0.00724478	-589.246	808.157	445.511	0.83203	0	0	0.353995	0.29201	0.353995	0	0
