Temp	Magnetism_1_Correct	Magnetism_2_Correct	Susceptibility_1_Correct	Susceptibility_2_Correct	Energy_Correct	Heat_Capacity_Correct	Heat_Capacity/Temp_Correct	Entropy_Correct	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
0.561	-0.999843	0.999843	5.78139e-007	5.78139e-007	-1799.51	10.2256	18.2274	0.00116289	0	0	0.499921	0.000157049	0.499921	0	0
0.562	-0.999901	0.999901	3.74688e-007	3.74688e-007	-1799.69	6.61535	11.7711	0.00118314	0	0	0.49995	9.91852e-005	0.49995	0	0
0.563	-0.99994	0.99994	2.31677e-007	2.31677e-007	-1799.81	4.08315	7.25248	0.00119622	0	0	0.49997	6.03333e-005	0.49997	0	0
0.564	-0.999931	0.999931	2.62304e-007	2.62304e-007	-1799.78	4.61473	8.18215	0.00120428	0	0	0.499966	6.86963e-005	0.499966	0	0
0.565	-0.999896	0.999896	3.92432e-007	3.92432e-007	-1799.67	6.89182	12.1979	0.00121337	0	0	0.499948	0.000103679	0.499948	0	0
0.566	-0.999827	0.999827	6.26707e-007	6.26707e-007	-1799.45	10.9867	19.4111	0.00122693	0	0	0.499913	0.000173106	0.499913	0	0
0.567	-0.999933	0.999933	2.55311e-007	2.55311e-007	-1799.79	4.46793	7.87994	0.00124849	0	0	0.499966	6.71728e-005	0.499966	0	0
0.568	-0.999831	0.999831	6.63399e-007	6.63399e-007	-1799.47	11.589	20.4032	0.00125725	0	0	0.499915	0.000169151	0.499915	0	0
0.569	-0.999889	0.999889	4.24028e-007	4.24028e-007	-1799.65	7.39439	12.9954	0.00127992	0	0	0.499945	0.000110896	0.499945	0	0
0.57	-0.999875	0.999875	4.98345e-007	4.98345e-007	-1799.61	8.67511	15.2195	0.00129436	0	0	0.499938	0.000124938	0.499938	0	0
0.571	-0.99993	0.99993	2.64279e-007	2.64279e-007	-1799.78	4.59245	8.04283	0.00131127	0	0	0.499965	7.01185e-005	0.499965	0	0
0.572	-0.999915	0.999915	3.17712e-007	3.17712e-007	-1799.73	5.51131	9.63516	0.00132021	0	0	0.499957	8.50321e-005	0.499957	0	0
0.573	-0.999849	0.999849	6.76643e-007	6.76643e-007	-1799.52	11.7172	20.4489	0.00133091	0	0	0.499924	0.000151244	0.499924	0	0
0.574	-0.999838	0.999838	5.80267e-007	5.80267e-007	-1799.49	10.0308	17.4752	0.00135363	0	0	0.499919	0.00016164	0.499919	0	0
0.575	-0.999845	0.999845	5.57148e-007	5.57148e-007	-1799.51	9.61438	16.7207	0.00137305	0	0	0.499923	0.000154968	0.499923	0	0
0.576	-0.999833	0.999833	6.28749e-007	6.28749e-007	-1799.47	10.8311	18.804	0.00139163	0	0	0.499916	0.000167067	0.499916	0	0
0.577	-0.999893	0.999893	3.93516e-007	3.93516e-007	-1799.66	6.76714	11.7282	0.00141252	0	0	0.499946	0.000107363	0.499946	0	0
0.578	-0.99987	0.99987	5.04688e-007	5.04688e-007	-1799.59	8.66389	14.9894	0.00142555	0	0	0.499935	0.000130133	0.499935	0	0
0.579	-0.999805	0.999805	7.29298e-007	7.29298e-007	-1799.39	12.4981	21.5857	0.00144221	0	0	0.499903	0.000194899	0.499903	0	0
0.58	-0.999902	0.999902	3.60287e-007	3.60287e-007	-1799.69	6.16363	10.627	0.00146619	0	0	0.499951	9.83901e-005	0.499951	0	0
0.581	-0.999933	0.999933	2.49764e-007	2.49764e-007	-1799.79	4.2655	7.34166	0.001478	0	0	0.499966	6.73407e-005	0.499966	0	0
0.582	-0.999939	0.999939	2.28074e-007	2.28074e-007	-1799.81	3.88842	6.68113	0.00148616	0	0	0.49997	6.06938e-005	0.49997	0	0
0.583	-0.999893	0.999893	3.87441e-007	3.87441e-007	-1799.66	6.59412	11.3107	0.00149358	0	0	0.499947	0.000106775	0.499947	0	0
0.584	-0.999896	0.999896	4.44959e-007	4.44959e-007	-1799.67	7.5601	12.9454	0.00150615	0	0	0.499948	0.00010424	0.499948	0	0
0.585	-0.999764	0.999764	8.28801e-007	8.28801e-007	-1799.26	14.0577	24.0302	0.00152053	0	0	0.499882	0.000236363	0.499882	0	0
0.586	-0.999896	0.999896	3.79988e-007	3.79988e-007	-1799.67	6.43416	10.9798	0.00154723	0	0	0.499948	0.000103862	0.499948	0	0
0.587	-0.999871	0.999871	4.58457e-007	4.58457e-007	-1799.6	7.74962	13.2021	0.00155943	0	0	0.499936	0.000128536	0.499936	0	0
0.588	-0.999805	0.999805	7.63209e-007	7.63209e-007	-1799.39	12.879	21.9031	0.0015741	0	0	0.499902	0.000195054	0.499902	0	0
0.589	-0.999912	0.999912	3.38011e-007	3.38011e-007	-1799.72	5.69422	9.6676	0.00159844	0	0	0.499956	8.79062e-005	0.499956	0	0
0.59	-0.999793	0.999793	8.10284e-007	8.10284e-007	-1799.35	13.6271	23.0968	0.00160918	0	0	0.499897	0.000206568	0.499897	0	0
0.591	-0.999888	0.999888	4.79634e-007	4.79634e-007	-1799.65	8.05271	13.6256	0.00163484	0	0	0.499944	0.000111652	0.499944	0	0
0.592	-0.999886	0.999886	4.07175e-007	4.07175e-007	-1799.64	6.82461	11.5281	0.00164998	0	0	0.499943	0.000114356	0.499943	0	0
0.593	-0.999867	0.999867	4.90942e-007	4.90942e-007	-1799.58	8.21473	13.8528	0.00166279	0	0	0.499933	0.000133277	0.499933	0	0
0.594	-0.999855	0.999855	6.39643e-007	6.39643e-007	-1799.54	10.6849	17.9881	0.00167818	0	0	0.499927	0.000145222	0.499927	0	0
0.595	-0.999883	0.999883	4.51097e-007	4.51097e-007	-1799.63	7.52266	12.6431	0.00169817	0	0	0.499941	0.000117259	0.499941	0	0
0.596	-0.999801	0.999801	8.10888e-007	8.10888e-007	-1799.37	13.5	22.651	0.00171222	0	0	0.499901	0.000198637	0.499901	0	0
0.597	-0.999826	0.999826	6.20877e-007	6.20877e-007	-1799.45	10.3193	17.2852	0.00173738	0	0	0.499913	0.000174254	0.499913	0	0
0.598	-0.999841	0.999841	6.34043e-007	6.34043e-007	-1799.5	10.1476	16.9693	0.00175659	0	0	0.499923	0.000153425	0.499923	0	0
0.599	-0.999848	0.999848	5.23872e-007	5.23872e-007	-1799.52	8.67794	14.4874	0.00177545	0	0	0.499924	0.000151543	0.499924	0	0
0.6	-0.999921	0.999921	2.80723e-007	2.80723e-007	-1799.75	4.64242	7.73737	0.00179154	0	0	0.499961	7.85728e-005	0.499961	0	0
0.601	-0.999851	0.999851	5.2602e-007	5.2602e-007	-1799.53	8.68454	14.4501	0.00180014	0	0	0.499925	0.000149202	0.499925	0	0
0.602	-0.999876	0.999876	4.33699e-007	4.33699e-007	-1799.61	7.14845	11.8745	0.0018162	0	0	0.499938	0.000124459	0.499938	0	0
0.603	-0.999811	0.999811	6.36547e-007	6.36547e-007	-1799.41	10.4745	17.3707	0.00182939	0	0	0.499906	0.00018876	0.499906	0	0
0.604	-0.999893	0.999893	3.75187e-007	3.75187e-007	-1799.66	6.16352	10.2045	0.00184869	0	0	0.499946	0.000107141	0.499946	0	0
0.605	-0.999856	0.999856	4.95018e-007	4.95018e-007	-1799.55	8.11864	13.4192	0.00186003	0	0	0.499928	0.000144114	0.499928	0	0
0.606	-0.999929	0.999929	2.52829e-007	2.52829e-007	-1799.78	4.13976	6.83129	0.00187494	0	0	0.499964	7.12296e-005	0.499964	0	0
0.607	-0.999808	0.999808	6.81224e-007	6.81224e-007	-1799.4	11.1358	18.3456	0.00188253	0	0	0.499904	0.000191914	0.499904	0	0
0.608	-0.999882	0.999882	4.07436e-007	4.07436e-007	-1799.63	6.64927	10.9363	0.00190291	0	0	0.499941	0.000117709	0.499941	0	0
0.609	-0.999858	0.999858	4.84882e-007	4.84882e-007	-1799.55	7.90018	12.9724	0.00191506	0	0	0.499929	0.000141948	0.499929	0	0
0.61	-0.999878	0.999878	4.21543e-007	4.21543e-007	-1799.61	6.85696	11.2409	0.00192948	0	0	0.499939	0.000122462	0.499939	0	0
0.611	-0.999846	0.999846	5.19733e-007	5.19733e-007	-1799.52	8.44032	13.8139	0.00194197	0	0	0.499923	0.000153504	0.499923	0	0
0.612	-0.999907	0.999907	3.23173e-007	3.23173e-007	-1799.71	5.23967	8.56155	0.00195732	0	0	0.499954	9.2884e-005	0.499954	0	0
0.613	-0.999873	0.999873	5.46313e-007	5.46313e-007	-1799.61	8.04218	13.1194	0.00196683	0	0	0.499943	0.000113432	0.499943	0	0
0.614	-0.999878	0.999878	4.17529e-007	4.17529e-007	-1799.62	6.74742	10.9893	0.00198141	0	0	0.499939	0.00012183	0.499939	0	0
0.615	-0.999892	0.999892	3.82551e-007	3.82551e-007	-1799.66	6.17211	10.036	0.00199362	0	0	0.499946	0.000107965	0.499946	0	0
0.616	-0.999865	0.999865	4.56875e-007	4.56875e-007	-1799.58	7.35926	11.9469	0.00200477	0	0	0.499933	0.000134825	0.499933	0	0
0.617	-0.999831	0.999831	5.62784e-007	5.62784e-007	-1799.47	9.05057	14.6687	0.00201804	0	0	0.499915	0.000169128	0.499915	0	0
0.618	-0.999864	0.999864	4.92481e-007	4.92481e-007	-1799.57	7.90714	12.7947	0.00203434	0	0	0.499932	0.000136323	0.499932	0	0
0.619	-0.999873	0.999873	4.29698e-007	4.29698e-007	-1799.6	6.88797	11.1276	0.00204856	0	0	0.499937	0.000126943	0.499937	0	0
0.62	-0.999944	0.999944	1.97149e-007	1.97149e-007	-1799.82	3.15518	5.08899	0.00206092	0	0	0.499972	5.61778e-005	0.499972	0	0
0.621	-0.999928	0.999928	3.05007e-007	3.05007e-007	-1799.77	4.87346	7.84776	0.00206658	0	0	0.499964	7.17531e-005	0.499964	0	0
0.622	-0.999935	0.999935	2.2472e-007	2.2472e-007	-1799.8	3.58484	5.76341	0.0020753	0	0	0.499968	6.47877e-005	0.499968	0	0
0.623	-0.999832	0.999832	5.99353e-007	5.99353e-007	-1799.47	9.54581	15.3223	0.0020817	0	0	0.499916	0.000168393	0.499916	0	0
0.624	-0.999857	0.999857	5.11922e-007	5.11922e-007	-1799.55	8.14026	13.0453	0.00209872	0	0	0.499928	0.000143089	0.499928	0	0
0.625	-0.999844	0.999844	5.58397e-007	5.58397e-007	-1799.51	8.86504	14.1841	0.00211322	0	0	0.499922	0.000155936	0.499922	0	0
0.626	-0.99994	0.99994	2.06705e-007	2.06705e-007	-1799.81	3.27637	5.23382	0.00212898	0	0	0.49997	5.98395e-005	0.49997	0	0
0.627	-0.999915	0.999915	3.1521e-007	3.1521e-007	-1799.73	4.9883	7.95582	0.00213479	0	0	0.499957	8.53556e-005	0.499957	0	0
0.628	-0.99976	0.99976	8.2564e-007	8.2564e-007	-1799.24	13.0452	20.7726	0.00214363	0	0	0.49988	0.000239894	0.49988	0	0
0.629	-0.999853	0.999853	4.85318e-007	4.85318e-007	-1799.54	7.65584	12.1715	0.00216671	0	0	0.499926	0.000147106	0.499926	0	0
0.63	-0.999959	0.999959	1.4046e-007	1.4046e-007	-1799.87	2.21223	3.51148	0.00218024	0	0	0.49998	4.05605e-005	0.49998	0	0
0.631	-0.999841	0.999841	5.32989e-007	5.32989e-007	-1799.5	8.38126	13.2825	0.00218414	0	0	0.49992	0.000159138	0.49992	0	0
0.632	-0.999921	0.999921	2.77335e-007	2.77335e-007	-1799.75	4.35417	6.88951	0.0021989	0	0	0.49996	7.9479e-005	0.49996	0	0
0.633	-0.999904	0.999904	3.2099e-007	3.2099e-007	-1799.7	5.03158	7.94879	0.00220655	0	0	0.499952	9.55407e-005	0.499952	0	0
0.634	-0.999843	0.999843	5.4809e-007	5.4809e-007	-1799.51	8.57787	13.5298	0.00221539	0	0	0.499922	0.000156921	0.499922	0	0
0.635	-0.999908	0.999908	3.086e-007	3.086e-007	-1799.71	4.82216	7.59396	0.00223042	0	0	0.499954	9.19901e-005	0.499954	0	0
0.636	-0.999886	0.999886	3.76667e-007	3.76667e-007	-1799.64	5.87651	9.2398	0.00223886	0	0	0.499943	0.00011361	0.499943	0	0
0.637	-0.99989	0.99989	3.64868e-007	3.64868e-007	-1799.65	5.68346	8.92224	0.00224912	0	0	0.499945	0.000110037	0.499945	0	0
0.638	-0.999871	0.999871	4.22494e-007	4.22494e-007	-1799.59	6.57082	10.2991	0.00225904	0	0	0.499936	0.000128758	0.499936	0	0
0.639	-0.999878	0.999878	4.01319e-007	4.01319e-007	-1799.62	6.23173	9.75231	0.00227048	0	0	0.499939	0.000122109	0.499939	0	0
0.64	-0.999848	0.999848	4.91688e-007	4.91688e-007	-1799.52	7.62304	11.911	0.00228132	0	0	0.499924	0.000152002	0.499924	0	0
0.641	-0.999833	0.999833	5.35857e-007	5.35857e-007	-1799.47	8.29489	12.9405	0.00229455	0	0	0.499916	0.000167138	0.499916	0	0
0.642	-0.999953	0.999953	1.60842e-007	1.60842e-007	-1799.85	2.4859	3.87211	0.00230893	0	0	0.499976	4.74815e-005	0.499976	0	0
0.643	-0.999822	0.999822	5.67308e-007	5.67308e-007	-1799.44	8.75434	13.6148	0.00231323	0	0	0.499911	0.000178484	0.499911	0	0
0.644	-0.999911	0.999911	2.93713e-007	2.93713e-007	-1799.72	4.52539	7.027	0.00232836	0	0	0.499956	8.86543e-005	0.499956	0	0
0.645	-0.999913	0.999913	2.87137e-007	2.87137e-007	-1799.73	4.41722	6.84841	0.00233617	0	0	0.499957	8.67259e-005	0.499957	0	0
0.646	-0.999901	0.999901	3.26649e-007	3.26649e-007	-1799.69	5.01726	7.76665	0.00234378	0	0	0.49995	9.94025e-005	0.49995	0	0
0.647	-0.999908	0.999908	3.01725e-007	3.01725e-007	-1799.71	4.62729	7.15191	0.0023524	0	0	0.499954	9.16247e-005	0.499954	0	0
0.648	-0.999835	0.999835	5.24094e-007	5.24094e-007	-1799.48	8.02512	12.3844	0.00236035	0	0	0.499917	0.000165089	0.499917	0	0
0.649	-0.999947	0.999947	1.78912e-007	1.78912e-007	-1799.83	2.73535	4.21471	0.00237411	0	0	0.499974	5.25037e-005	0.499974	0	0
0.65	-0.999895	0.999895	3.43513e-007	3.43513e-007	-1799.67	5.24382	8.06742	0.00237879	0	0	0.499947	0.000105484	0.499947	0	0
0.651	-0.99994	0.99994	1.97768e-007	1.97768e-007	-1799.81	3.01437	4.63036	0.00238776	0	0	0.49997	5.95309e-005	0.49997	0	0
0.652	-0.999934	0.999934	2.50011e-007	2.50011e-007	-1799.79	3.80481	5.83559	0.0023929	0	0	0.499967	6.57111e-005	0.499967	0	0
0.653	-0.99985	0.99985	5.67075e-007	5.67075e-007	-1799.53	8.49309	13.0063	0.00239939	0	0	0.499925	0.000150432	0.499925	0	0
0.654	-0.999886	0.999886	3.66662e-007	3.66662e-007	-1799.64	5.56297	8.50607	0.00241384	0	0	0.499943	0.000113728	0.499943	0	0
0.655	-0.999949	0.999949	1.76136e-007	1.76136e-007	-1799.84	2.66825	4.07366	0.00242329	0	0	0.499974	5.10025e-005	0.499974	0	0
0.656	-0.999914	0.999914	2.81106e-007	2.81106e-007	-1799.73	4.25189	6.48155	0.00242782	0	0	0.499957	8.63358e-005	0.499957	0	0
0.657	-0.999908	0.999908	2.99508e-007	2.99508e-007	-1799.71	4.52336	6.88487	0.00243502	0	0	0.499954	9.23901e-005	0.499954	0	0
0.658	-0.99986	0.99986	5.26343e-007	5.26343e-007	-1799.57	7.4321	11.295	0.00244267	0	0	0.499935	0.000130684	0.499935	0	0
0.659	-0.999838	0.999838	5.07072e-007	5.07072e-007	-1799.49	7.6349	11.5856	0.00245522	0	0	0.499919	0.000162212	0.499919	0	0
0.66	-0.999889	0.999889	3.55385e-007	3.55385e-007	-1799.65	5.34287	8.09525	0.00246809	0	0	0.499944	0.000111104	0.499944	0	0
0.661	-0.999855	0.999855	5.43973e-007	5.43973e-007	-1799.54	8.16571	12.3536	0.00247709	0	0	0.499927	0.000145146	0.499927	0	0
0.662	-0.999824	0.999824	6.58272e-007	6.58272e-007	-1799.45	9.86657	14.9042	0.00249081	0	0	0.499912	0.000175904	0.499912	0	0
0.663	-0.999823	0.999823	5.56079e-007	5.56079e-007	-1799.44	8.3223	12.5525	0.00250737	0	0	0.499911	0.000177254	0.499911	0	0
0.664	-0.999861	0.999861	4.37262e-007	4.37262e-007	-1799.56	6.5342	9.84067	0.00252132	0	0	0.49993	0.000139398	0.49993	0	0
0.665	-0.999926	0.999926	2.54359e-007	2.54359e-007	-1799.77	3.79528	5.70719	0.00253225	0	0	0.499963	7.4363e-005	0.499963	0	0
0.666	-0.999922	0.999922	2.52238e-007	2.52238e-007	-1799.75	3.75797	5.6426	0.00253859	0	0	0.499961	7.8358e-005	0.499961	0	0
0.667	-0.999919	0.999919	2.58587e-007	2.58587e-007	-1799.75	3.84682	5.76734	0.00254486	0	0	0.49996	8.05333e-005	0.49996	0	0
0.668	-0.999905	0.999905	3.02196e-007	3.02196e-007	-1799.7	4.4888	6.71975	0.00255127	0	0	0.499953	9.48914e-005	0.499953	0	0
0.669	-0.999766	0.999766	6.95412e-007	6.95412e-007	-1799.26	10.3142	15.4173	0.00255874	0	0	0.499883	0.00023399	0.499883	0	0
0.67	-0.9998	0.9998	6.78779e-007	6.78779e-007	-1799.37	10.0525	15.0037	0.00257587	0	0	0.4999	0.00019962	0.4999	0	0
0.671	-0.999894	0.999894	3.3703e-007	3.3703e-007	-1799.67	4.98382	7.42745	0.00259254	0	0	0.499947	0.000105958	0.499947	0	0
0.672	-0.999768	0.999768	6.86601e-007	6.86601e-007	-1799.27	10.138	15.0864	0.00260079	0	0	0.499884	0.000231807	0.499884	0	0
0.673	-0.999893	0.999893	3.34959e-007	3.34959e-007	-1799.66	4.9385	7.33804	0.00261756	0	0	0.499947	0.000106551	0.499947	0	0
