Temperature_K	Magnetism_One_K	Magnetism_Two_K	Magnetism_Three_K	Susceptibility_One_K	Susceptibility_Two_K	Susceptibility_Three_K	Energy_K	Heat_Capacity_K	Heat_Capacity_Over_Temp_K	Entropy_K	Prob1	Prob_neg1	Prob0
9.94	-0.000487015	-0.000843137	0.00133015	0.000192073	0.000187885	0.000200908	-103.327	10.451	1.05141	1.09854	0.335772	0.335772	0.328455
9.939	0.000210467	0.00101768	-0.00122814	0.000172033	0.000181772	0.000191512	-108.976	8.96123	0.901623	1.09854	0.335407	0.335407	0.329185
9.938	-0.000882737	-0.0032382	0.00412094	0.00017862	0.000183044	0.000188633	-106.251	9.68395	0.974436	1.09853	0.335637	0.335637	0.328727
9.937	0.00200513	-0.00176473	-0.000240404	0.00019752	0.000189831	0.000185482	-109.049	9.98433	1.00476	1.09853	0.335433	0.335433	0.329134
9.936	0.00303688	-0.00605913	0.00302225	0.000164857	0.000163745	0.000188232	-112.778	8.84063	0.889757	1.09853	0.334903	0.334903	0.330194
9.935	-0.00119821	0.00111333	8.48889e-005	0.00019401	0.000183455	0.000180639	-112.984	10.0668	1.01327	1.09853	0.335341	0.335341	0.329318
9.934	-8.42074e-005	0.000221507	-0.0001373	0.000177814	0.00017689	0.00018427	-109.644	9.52903	0.959234	1.09853	0.335641	0.335641	0.328717
9.933	-0.000685174	0.00130827	-0.000623093	0.000182257	0.000171342	0.000184589	-107.758	10.183	1.02517	1.09853	0.335073	0.335073	0.329853
9.932	-0.00295084	0.0012602	0.00169063	0.000175106	0.000178458	0.000190326	-102.983	10.6033	1.06759	1.09853	0.335866	0.335866	0.328268
9.931	0.000461785	0.00254191	-0.0030037	0.000185979	0.000184747	0.00017454	-110.638	9.2876	0.935213	1.09853	0.335029	0.335029	0.329943
9.93	-0.00111934	0.00161091	-0.000491563	0.00020107	0.000177968	0.000189176	-109.796	9.95149	1.00216	1.09853	0.335203	0.335203	0.329594
9.929	0.00235572	-0.0026505	0.000294785	0.000190393	0.000185208	0.000188089	-111.754	8.82257	0.888566	1.09852	0.335151	0.335151	0.329698
9.928	0.00307417	-0.000155785	-0.00291839	0.000182187	0.000190807	0.000184392	-108.98	11.7551	1.18404	1.09852	0.334949	0.334949	0.330103
9.927	0.000914137	0.00125447	-0.0021686	0.000182731	0.000164748	0.000179377	-106.934	9.30367	0.937209	1.09852	0.335084	0.335084	0.329832
9.926	-0.00244103	-0.00227708	0.00471811	0.000170752	0.000184969	0.000181905	-113.008	9.24906	0.931802	1.09852	0.33501	0.33501	0.32998
9.925	0.000543326	-0.00135891	0.000815589	0.000187196	0.000178103	0.000162882	-104.291	10.3147	1.03927	1.09852	0.335344	0.335344	0.329312
9.924	0.00416526	-0.00200454	-0.00216072	0.000179906	0.000185607	0.000189114	-106.846	9.79883	0.987387	1.09852	0.335138	0.335138	0.329723
9.923	0.00283353	-0.00161864	-0.00121488	0.000197194	0.00017328	0.000178593	-106.296	9.19818	0.926956	1.09852	0.335408	0.335408	0.329183
9.922	-0.00136739	0.00127276	9.46333e-005	0.000187219	0.000187842	0.000193326	-109.546	9.55602	0.963114	1.09852	0.335682	0.335682	0.328636
9.921	-0.00455067	-0.000531667	0.00508233	0.000173609	0.000169288	0.00018141	-110.896	10.1835	1.02646	1.09852	0.334883	0.334883	0.330235
9.92	-1.28111e-005	-0.00332257	0.00333539	0.000183023	0.000189048	0.000192701	-110.519	9.77284	0.985165	1.09851	0.335032	0.335032	0.329936
9.919	-0.00148607	0.000518037	0.00096803	0.000205136	0.000194435	0.000187295	-109.454	9.81046	0.989057	1.09851	0.335484	0.335484	0.329032
9.918	0.00410869	-0.00207411	-0.00203457	0.000203606	0.000182234	0.000175763	-109.157	9.98103	1.00636	1.09851	0.334899	0.334899	0.330202
9.917	-0.00593294	0.00780827	-0.00187533	0.000174912	0.000171151	0.000180763	-105.915	9.52903	0.960878	1.09851	0.335634	0.335634	0.328732
9.916	-0.00320075	0.00368853	-0.000487785	0.000185228	0.00018772	0.000190506	-110.414	9.73746	0.981995	1.09851	0.335628	0.335628	0.328743
9.915	-0.00383717	0.00230376	0.00153341	0.000187241	0.000172598	0.000163697	-107.717	9.93123	1.00164	1.09851	0.335777	0.335777	0.328447
9.914	-0.00286286	0.000586252	0.0022766	0.000195423	0.000168713	0.000191843	-109.314	9.41499	0.949667	1.09851	0.335493	0.335493	0.329013
9.913	-0.00129569	-0.000904263	0.00219995	0.000182658	0.000186287	0.00019129	-111.012	9.74128	0.982678	1.09851	0.335375	0.335375	0.329251
9.912	-0.00205798	0.00612611	-0.00406813	0.000180742	0.000188294	0.000164875	-112.052	10.1907	1.02812	1.09851	0.335206	0.335206	0.329588
9.911	0.000170541	-0.00201866	0.00184812	0.000179942	0.00017546	0.000167975	-108.34	9.9157	1.00047	1.0985	0.335773	0.335773	0.328453
9.91	-0.00098193	0.00361485	-0.00263292	0.000179733	0.000192626	0.000183474	-115.33	10.4333	1.0528	1.0985	0.335268	0.335268	0.329465
9.909	0.00256026	-0.00167543	-0.000884826	0.00018088	0.000180814	0.000191773	-111.728	9.89111	0.998195	1.0985	0.335633	0.335633	0.328734
9.908	-0.00234957	0.000840937	0.00150863	0.000173991	0.000183484	0.000196323	-110.018	9.12504	0.920977	1.0985	0.335236	0.335236	0.329528
9.907	0.00282923	0.0015016	-0.00433083	0.000196226	0.000195315	0.000188195	-109.785	9.8355	0.992782	1.0985	0.33555	0.33555	0.328901
9.906	-0.00248051	0.0019761	0.000504411	0.000193191	0.000175444	0.000186156	-111.986	9.4473	0.953695	1.0985	0.335546	0.335546	0.328908
9.905	0.000721011	-0.00192262	0.00120161	0.000196416	0.000181496	0.000179487	-105.631	9.59881	0.969087	1.0985	0.335604	0.335604	0.328792
9.904	0.0020514	6.88148e-005	-0.00212022	0.00019453	0.000180019	0.000185894	-112.471	10.087	1.01848	1.0985	0.334754	0.334754	0.330492
9.903	0.00416541	0.0034085	-0.0075739	0.000183258	0.00017882	0.000175255	-111.218	8.93164	0.901912	1.0985	0.335309	0.335309	0.329383
9.902	-0.00271227	-0.000668274	0.00338055	0.0001803	0.000172467	0.000169556	-109.247	9.38679	0.947969	1.0985	0.335319	0.335319	0.329362
9.901	-0.00183326	-0.000221985	0.00205524	0.000171304	0.000182602	0.000179898	-112.58	8.80216	0.889017	1.09849	0.335354	0.335354	0.329292
9.9	-0.00132979	0.000899993	0.000429793	0.000191852	0.000187115	0.000182784	-111.25	9.88922	0.998911	1.09849	0.335153	0.335153	0.329695
9.899	0.000728504	0.00195791	-0.00268641	0.0001713	0.000189241	0.000180855	-111.188	9.50511	0.960209	1.09849	0.334985	0.334985	0.330031
9.898	0.00331514	-0.00051787	-0.00279727	0.000164045	0.000172112	0.000182731	-108.65	10.0958	1.01998	1.09849	0.334983	0.334983	0.330035
9.897	-0.000477711	0.00189402	-0.00141631	0.000181548	0.000176436	0.000177169	-109.902	10.4009	1.05092	1.09849	0.335249	0.335249	0.329502
9.896	-0.00216109	-0.00117225	0.00333333	0.000187038	0.000185589	0.000191951	-107.724	10.2358	1.03434	1.09849	0.335419	0.335419	0.329163
9.895	0.000166704	0.00165176	-0.00181846	0.000180677	0.000181493	0.000196602	-110.452	9.05188	0.914793	1.09849	0.335086	0.335086	0.329829
9.894	-0.00265534	-0.00157944	0.00423478	0.000182803	0.000191257	0.00017705	-109.368	8.49786	0.85889	1.09849	0.335244	0.335244	0.329512
9.893	0.00355546	-0.00463607	0.00108061	0.00018154	0.000173712	0.000175058	-110.814	9.51591	0.961884	1.09849	0.335213	0.335213	0.329575
9.892	0.00042047	-0.0016037	0.00118323	0.000160986	0.000188181	0.000213118	-103.726	8.68516	0.877998	1.09848	0.335685	0.335685	0.32863
