Temperature	Magnetism_One	Magntism_Two	Susceptibility_One	Susceptibility_Two	Energy	Heat_Capacity	Heat_Capacity_Over_Temp	Entropy	Prob_S3	Prob_S2	Prob_S1	Prob_S0	Prob_S-1	Prob_S-2	Prob_S-3	
0.65	2.99948	2.99948	1.58915e-006	1.58915e-006	-16194.6	261.9	402.922	589.963	0.499741	0.000258741	0	0	0	0.000258741	0.499741
0.66	2.99977	2.99977	6.91679e-007	6.91679e-007	-16197.6	112.265	170.099	589.967	0.499885	0.000114519	0	0	0	0.000114519	0.499885
0.67	2.99983	2.99983	5.30196e-007	5.30196e-007	-16198.2	84.7705	126.523	589.969	0.499913	8.66914e-005	0	0	0	8.66914e-005	0.499913
0.68	2.99995	2.99995	1.47446e-007	1.47446e-007	-16199.5	23.2278	34.1585	589.971	0.499977	2.3037e-005	0	0	0	2.3037e-005	0.499977
0.69	2.99967	2.99967	8.9864e-007	8.9864e-007	-16196.6	139.515	202.196	589.971	0.499836	0.000163605	0	0	0	0.000163605	0.499836
0.7	2.99987	2.99987	3.83706e-007	3.83706e-007	-16198.7	58.7194	83.8849	589.973	0.499936	6.41358e-005	0	0	0	6.41358e-005	0.499936
0.71	2.9998	2.9998	5.73244e-007	5.73244e-007	-16197.9	86.49	121.817	589.974	0.499899	0.000100704	0	0	0	0.000100704	0.499899
0.72	2.99985	2.99985	4.31644e-007	4.31644e-007	-16198.4	64.221	89.1958	589.976	0.499925	7.49877e-005	0	0	0	7.49877e-005	0.499925
0.73	2.99978	2.99978	6.06655e-007	6.06655e-007	-16197.7	89.0235	121.95	589.977	0.499889	0.000110667	0	0	0	0.000110667	0.499889
0.74	2.99975	2.99975	6.79704e-007	6.79704e-007	-16197.5	98.3945	132.966	589.978	0.499877	0.000123012	0	0	0	0.000123012	0.499877
0.75	2.99979	2.99979	5.82788e-007	5.82788e-007	-16197.8	83.2397	110.986	589.979	0.499894	0.000105864	0	0	0	0.000105864	0.499894
0.76	2.99991	2.99991	2.58926e-007	2.58926e-007	-16199	36.4961	48.0212	589.981	0.499954	4.61975e-005	0	0	0	4.61975e-005	0.499954
0.77	2.99997	2.99997	7.17907e-008	7.17907e-008	-16199.7	9.98759	12.9709	589.981	0.499987	1.25802e-005	0	0	0	1.25802e-005	0.499987
0.78	2.99973	2.99973	6.70117e-007	6.70117e-007	-16197.2	92.0314	117.989	589.981	0.499866	0.000133691	0	0	0	0.000133691	0.499866
0.79	2.99997	2.99997	6.96335e-008	6.96335e-008	-16199.7	9.44226	11.9522	589.983	0.499987	1.25185e-005	0	0	0	1.25185e-005	0.499987
0.8	2.99973	2.99973	7.3299e-007	7.3299e-007	-16197.2	98.1504	122.688	589.983	0.499866	0.000134099	0	0	0	0.000134099	0.499866
0.81	2.99972	2.99972	6.72027e-007	6.72027e-007	-16197.1	88.8766	109.724	589.984	0.499861	0.000139136	0	0	0	0.000139136	0.499861
0.82	2.99935	2.99935	1.24392e-006	1.24392e-006	-16193.3	162.504	198.176	589.985	0.499676	0.000323963	0	0	0	0.000323963	0.499676
0.83	2.99997	2.99997	8.31571e-008	8.31571e-008	-16199.7	10.7326	12.9309	589.988	0.499984	1.57531e-005	0	0	0	1.57531e-005	0.499984
0.84	2.9999	2.9999	2.46574e-007	2.46574e-007	-16199	31.4449	37.4344	589.988	0.499951	4.87407e-005	0	0	0	4.87407e-005	0.499951
0.85	2.99984	2.99984	3.96176e-007	3.96176e-007	-16198.3	49.9292	58.7402	589.988	0.499918	8.17901e-005	0	0	0	8.17901e-005	0.499918
0.86	2.99994	2.99994	1.53505e-007	1.53505e-007	-16199.4	19.121	22.2337	589.989	0.499969	3.05432e-005	0	0	0	3.05432e-005	0.499969
0.87	2.99993	2.99993	1.81662e-007	1.81662e-007	-16199.2	22.368	25.7103	589.989	0.499963	3.67778e-005	0	0	0	3.67778e-005	0.499963
0.88	2.99962	2.99962	7.88342e-007	7.88342e-007	-16196.1	95.9654	109.052	589.989	0.499812	0.000187852	0	0	0	0.000187852	0.499812
0.89	2.99989	2.99989	2.56224e-007	2.56224e-007	-16198.9	30.8396	34.6513	589.991	0.499946	5.39259e-005	0	0	0	5.39259e-005	0.499946
0.9	2.99995	2.99995	1.21493e-007	1.21493e-007	-16199.5	14.4608	16.0676	589.991	0.499975	2.51728e-005	0	0	0	2.51728e-005	0.499975
0.91	2.99963	2.99963	7.50519e-007	7.50519e-007	-16196.2	88.3495	97.0874	589.991	0.499816	0.00018421	0	0	0	0.00018421	0.499816
0.92	2.99995	2.99995	1.2238e-007	1.2238e-007	-16199.5	14.2497	15.4888	589.992	0.499974	2.59383e-005	0	0	0	2.59383e-005	0.499974
0.93	2.99969	2.99969	6.30792e-007	6.30792e-007	-16196.8	72.6588	78.1277	589.992	0.499847	0.000153086	0	0	0	0.000153086	0.499847
0.94	2.99989	2.99989	2.44753e-007	2.44753e-007	-16198.9	27.8922	29.6726	589.993	0.499946	5.44321e-005	0	0	0	5.44321e-005	0.499946
0.95	2.99962	2.99962	7.33988e-007	7.33988e-007	-16196.1	82.7659	87.122	589.994	0.499811	0.000189062	0	0	0	0.000189062	0.499811
0.96	2.99996	2.99996	8.08762e-008	8.08762e-008	-16199.6	9.02474	9.40077	589.995	0.499982	1.77531e-005	0	0	0	1.77531e-005	0.499982
0.97	2.99977	2.99977	4.79322e-007	4.79322e-007	-16197.6	52.934	54.5712	589.995	0.499883	0.000116914	0	0	0	0.000116914	0.499883
0.98	2.99958	2.99958	7.67415e-007	7.67415e-007	-16195.7	83.886	85.598	589.995	0.499792	0.000208247	0	0	0	0.000208247	0.499792
0.99	2.99995	2.99995	1.17685e-007	1.17685e-007	-16199.4	12.7342	12.8628	589.996	0.499973	2.68642e-005	0	0	0	2.68642e-005	0.499973
1	2.99992	2.99992	1.68677e-007	1.68677e-007	-16199.2	18.0691	18.0691	589.996	0.499961	3.93457e-005	0	0	0	3.93457e-005	0.499961
1.01	2.99975	2.99975	4.90778e-007	4.90778e-007	-16197.4	52.0532	51.5379	589.997	0.499874	0.000125765	0	0	0	0.000125765	0.499874
1.02	2.99971	2.99971	5.86023e-007	5.86023e-007	-16197	61.5457	60.3389	589.997	0.499853	0.000146802	0	0	0	0.000146802	0.499853
1.03	2.99948	2.99948	1.20415e-006	1.20415e-006	-16194.6	125.235	121.587	589.998	0.499739	0.000261025	0	0	0	0.000261025	0.499739
1.04	2.99993	2.99993	1.35297e-007	1.35297e-007	-16199.3	13.936	13.4	589.999	0.499967	3.26173e-005	0	0	0	3.26173e-005	0.499967
1.05	2.99978	2.99978	5.81154e-007	5.81154e-007	-16197.8	59.2903	56.467	589.999	0.499891	0.000108605	0	0	0	0.000108605	0.499891
1.06	2.9998	2.9998	3.7359e-007	3.7359e-007	-16198	37.755	35.6179	590	0.499902	9.76914e-005	0	0	0	9.76914e-005	0.499902
1.07	2.99935	2.99935	1.15796e-006	1.15796e-006	-16193.3	115.929	108.345	590	0.499674	0.000325901	0	0	0	0.000325901	0.499674
1.08	2.99979	2.99979	3.98867e-007	3.98867e-007	-16197.8	39.5628	36.6322	590.002	0.499893	0.000107284	0	0	0	0.000107284	0.499893
1.09	2.99983	2.99983	3.23688e-007	3.23688e-007	-16198.2	31.8116	29.185	590.002	0.499914	8.60494e-005	0	0	0	8.60494e-005	0.499914
1.1	2.99984	2.99984	2.97221e-007	2.97221e-007	-16198.4	28.9449	26.3136	590.002	0.499921	7.92099e-005	0	0	0	7.92099e-005	0.499921
1.11	2.99969	2.99969	7.88791e-007	7.88791e-007	-16196.8	76.1237	68.5799	590.003	0.499846	0.000154136	0	0	0	0.000154136	0.499846
1.12	2.99975	2.99975	4.35091e-007	4.35091e-007	-16197.4	41.6145	37.1558	590.003	0.499877	0.000123333	0	0	0	0.000123333	0.499877
1.13	2.99977	2.99977	4.06997e-007	4.06997e-007	-16197.6	38.5828	34.1441	590.004	0.499885	0.000115481	0	0	0	0.000115481	0.499885
1.14	2.99973	2.99973	4.65493e-007	4.65493e-007	-16197.2	43.7415	38.3697	590.004	0.499864	0.000136062	0	0	0	0.000136062	0.499864
1.15	2.99951	2.99951	8.38943e-007	8.38943e-007	-16194.9	78.1476	67.9544	590.005	0.499753	0.000247395	0	0	0	0.000247395	0.499753
1.16	2.99947	2.99947	1.26837e-006	1.26837e-006	-16194.5	117.131	100.975	590.005	0.499733	0.000267111	0	0	0	0.000267111	0.499733
1.17	2.99941	2.99941	1.53137e-006	1.53137e-006	-16193.9	140.209	119.837	590.006	0.499704	0.000296185	0	0	0	0.000296185	0.499704
1.18	2.99997	2.99997	4.90719e-008	4.90719e-008	-16199.7	4.45488	3.77532	590.008	0.499987	1.31852e-005	0	0	0	1.31852e-005	0.499987
1.19	2.99966	2.99966	5.36555e-007	5.36555e-007	-16196.5	48.3006	40.5888	590.008	0.49983	0.000169531	0	0	0	0.000169531	0.49983
1.2	2.99966	2.99966	5.32877e-007	5.32877e-007	-16196.5	47.5699	39.6416	590.008	0.49983	0.00016984	0	0	0	0.00016984	0.49983
1.21	2.99997	2.99997	4.54639e-008	4.54639e-008	-16199.7	4.02494	3.3264	590.009	0.499987	1.25185e-005	0	0	0	1.25185e-005	0.499987
1.22	2.99998	2.99998	4.0293e-008	4.0293e-008	-16199.8	3.53796	2.89997	590.009	0.499989	1.11728e-005	0	0	0	1.11728e-005	0.499989
1.23	2.9995	2.9995	8.76778e-007	8.76778e-007	-16194.8	76.3606	62.0818	590.009	0.499748	0.000251642	0	0	0	0.000251642	0.499748
1.24	2.99985	2.99985	2.4515e-007	2.4515e-007	-16198.5	21.1783	17.0793	590.009	0.499927	7.32222e-005	0	0	0	7.32222e-005	0.499927
1.25	2.99966	2.99966	6.46758e-007	6.46758e-007	-16196.5	55.4264	44.3411	590.01	0.499829	0.00017137	0	0	0	0.00017137	0.499829
1.26	2.99945	2.99945	7.40519e-007	7.40519e-007	-16194.3	62.958	49.9667	590.01	0.499726	0.000274247	0	0	0	0.000274247	0.499726
1.27	2.99964	2.99964	5.83651e-007	5.83651e-007	-16196.2	49.2303	38.764	590.011	0.499818	0.000181667	0	0	0	0.000181667	0.499818
1.28	2.99978	2.99978	3.391e-007	3.391e-007	-16197.8	28.3793	22.1713	590.011	0.499892	0.000108198	0	0	0	0.000108198	0.499892
1.29	2.99953	2.99953	9.43984e-007	9.43984e-007	-16195.1	78.3895	60.767	590.011	0.499765	0.000235049	0	0	0	0.000235049	0.499765
1.3	2.99981	2.99981	2.97783e-007	2.97783e-007	-16198	24.5382	18.8755	590.012	0.499905	9.52716e-005	0	0	0	9.52716e-005	0.499905
1.31	2.99974	2.99974	4.58242e-007	4.58242e-007	-16197.3	37.4719	28.6045	590.012	0.499871	0.000129235	0	0	0	0.000129235	0.499871
1.32	2.9997	2.9997	4.33065e-007	4.33065e-007	-16196.9	35.145	26.625	590.013	0.499852	0.000148457	0	0	0	0.000148457	0.499852
1.33	2.99994	2.99994	9.66841e-008	9.66841e-008	-16199.4	7.78732	5.85513	590.013	0.49997	2.97284e-005	0	0	0	2.97284e-005	0.49997
1.34	2.99995	2.99995	7.60786e-008	7.60786e-008	-16199.5	6.08195	4.53877	590.013	0.499977	2.34321e-005	0	0	0	2.34321e-005	0.499977
1.35	2.99995	2.99995	7.60601e-008	7.60601e-008	-16199.5	6.03542	4.47068	590.013	0.499976	2.36049e-005	0	0	0	2.36049e-005	0.499976
1.36	2.99966	2.99966	6.46157e-007	6.46157e-007	-16196.5	50.896	37.4235	590.013	0.499829	0.000170901	0	0	0	0.000170901	0.499829
1.37	2.99985	2.99985	2.23032e-007	2.23032e-007	-16198.5	17.4394	12.7295	590.013	0.499926	7.36296e-005	0	0	0	7.36296e-005	0.499926
1.38	2.99992	2.99992	1.2389e-007	1.2389e-007	-16199.2	9.61708	6.9689	590.014	0.49996	3.99012e-005	0	0	0	3.99012e-005	0.49996
1.39	2.99981	2.99981	2.78208e-007	2.78208e-007	-16198	21.4408	15.425	590.014	0.499905	9.51605e-005	0	0	0	9.51605e-005	0.499905
1.4	2.99971	2.99971	4.67972e-007	4.67972e-007	-16197	35.8075	25.5768	590.014	0.499855	0.000145469	0	0	0	0.000145469	0.499855
1.41	2.99958	2.99958	6.83881e-007	6.83881e-007	-16195.7	51.957	36.8489	590.014	0.499792	0.000208235	0	0	0	0.000208235	0.499792
1.42	2.99987	2.99987	1.93687e-007	1.93687e-007	-16198.6	14.6116	10.2899	590.014	0.499934	6.57778e-005	0	0	0	6.57778e-005	0.499934
1.43	2.99955	2.99955	5.59874e-007	5.59874e-007	-16195.3	41.9411	29.3294	590.015	0.499774	0.000226185	0	0	0	0.000226185	0.499774
1.44	2.9997	2.9997	4.05868e-007	4.05868e-007	-16196.8	30.193	20.9674	590.015	0.499848	0.000152407	0	0	0	0.000152407	0.499848
1.45	2.99965	2.99965	4.91738e-007	4.91738e-007	-16196.4	36.3286	25.0542	590.015	0.499825	0.000175296	0	0	0	0.000175296	0.499825
1.46	2.99979	2.99979	2.89093e-007	2.89093e-007	-16197.8	21.2113	14.5283	590.015	0.499895	0.000104864	0	0	0	0.000104864	0.499895
1.47	2.99982	2.99982	2.51569e-007	2.51569e-007	-16198.1	18.3324	12.471	590.016	0.499909	9.05926e-005	0	0	0	9.05926e-005	0.499909
1.48	2.99986	2.99986	2.70491e-007	2.70491e-007	-16198.6	19.5781	13.2285	590.016	0.499932	6.75926e-005	0	0	0	6.75926e-005	0.499932
1.49	2.99973	2.99973	3.55455e-007	3.55455e-007	-16197.2	25.5554	17.1512	590.016	0.499864	0.000135753	0	0	0	0.000135753	0.499864
