Temp	Magnetism_1	Magnetism_2	Susceptibility_1	Susceptibility_2	Energy	Heat_Capacity	Heat_Capacity/Temp	Entropy	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
0.052	-0.999908	0.999908	3.78175e-006	3.78175e-006	-1799.71	721.619	13877.3	2609.32	0	0	0.499954	9.23284e-005	0.499954	0	0
0.053	-0.999746	0.999746	1.00569e-005	1.00569e-005	-1799.2	1882.81	35524.6	2609.33	0	0	0.499873	0.000253748	0.499873	0	0
0.054	-0.999844	0.999844	5.98597e-006	5.98597e-006	-1799.51	1099.92	20368.8	2609.37	0	0	0.499922	0.000156477	0.499922	0	0
0.055	-0.9999	0.9999	3.85714e-006	3.85714e-006	-1799.69	695.862	12652	2609.39	0	0	0.49995	9.99605e-005	0.49995	0	0
0.056	-0.999887	0.999887	4.68853e-006	4.68853e-006	-1799.64	830.747	14834.8	2609.41	0	0	0.499944	0.000112849	0.499944	0	0
0.057	-0.999871	0.999871	4.74123e-006	4.74123e-006	-1799.59	825.344	14479.7	2609.42	0	0	0.499935	0.000129114	0.499935	0	0
0.058	-0.999872	0.999872	4.60751e-006	4.60751e-006	-1799.6	788.24	13590.3	2609.44	0	0	0.499936	0.00012758	0.499936	0	0
0.059	-0.999914	0.999914	3.09872e-006	3.09872e-006	-1799.73	521.135	8832.8	2609.46	0	0	0.499957	8.55654e-005	0.499957	0	0
0.06	-0.999888	0.999888	3.93072e-006	3.93072e-006	-1799.65	650.038	10834	2609.47	0	0	0.499944	0.000111748	0.499944	0	0
0.061	-0.999809	0.999809	6.94977e-006	6.94977e-006	-1799.4	1130.47	18532.3	2609.48	0	0	0.499905	0.00019076	0.499905	0	0
0.062	-0.999878	0.999878	4.75208e-006	4.75208e-006	-1799.61	760.523	12266.5	2609.5	0	0	0.499939	0.000122479	0.499939	0	0
0.063	-0.999896	0.999896	3.4895e-006	3.4895e-006	-1799.67	549.594	8723.71	2609.51	0	0	0.499948	0.000103773	0.499948	0	0
0.064	-0.99987	0.99987	4.24933e-006	4.24933e-006	-1799.59	658.807	10293.9	2609.52	0	0	0.499935	0.000129983	0.499935	0	0
0.065	-0.999838	0.999838	5.13237e-006	5.13237e-006	-1799.49	783.47	12053.4	2609.53	0	0	0.499919	0.000161919	0.499919	0	0
0.066	-0.99989	0.99989	3.52241e-006	3.52241e-006	-1799.65	529.56	8023.63	2609.55	0	0	0.499945	0.000110067	0.499945	0	0
0.067	-0.99995	0.99995	1.61974e-006	1.61974e-006	-1799.84	239.877	3580.26	2609.55	0	0	0.499975	4.9958e-005	0.499975	0	0
0.068	-0.999899	0.999899	3.28749e-006	3.28749e-006	-1799.68	479.705	7054.49	2609.56	0	0	0.49995	0.000100625	0.49995	0	0
0.069	-0.999917	0.999917	2.57741e-006	2.57741e-006	-1799.74	370.64	5371.59	2609.57	0	0	0.499958	8.31383e-005	0.499958	0	0
0.07	-0.999845	0.999845	4.57178e-006	4.57178e-006	-1799.51	648.046	9257.8	2609.57	0	0	0.499923	0.000154793	0.499923	0	0
0.071	-0.999949	0.999949	2.57387e-006	2.57387e-006	-1799.84	359.707	5066.3	2609.58	0	0	0.499975	5.09852e-005	0.499975	0	0
0.072	-0.999902	0.999902	2.89152e-006	2.89152e-006	-1799.69	398.486	5534.53	2609.59	0	0	0.499951	9.80074e-005	0.499951	0	0
0.073	-0.99987	0.99987	3.73779e-006	3.73779e-006	-1799.59	508.053	6959.63	2609.59	0	0	0.499935	0.000130442	0.499935	0	0
0.074	-0.999904	0.999904	2.77028e-006	2.77028e-006	-1799.7	371.458	5019.71	2609.6	0	0	0.499952	9.64346e-005	0.499952	0	0
0.075	-0.999915	0.999915	2.65908e-006	2.65908e-006	-1799.73	351.794	4690.58	2609.61	0	0	0.499958	8.47802e-005	0.499958	0	0
