0	1
0	0.997654	0.666666	-4.29501e+008	-1.#INF	1.#INF
1.19	0.997454	0.666665	-4.29501e+008	-0.451945	8.15513e-009
1.2	0.997515	0.666666	-4.29501e+008	-0.666667	7.10281e-009
1.21	0.997485	0.666666	-4.29501e+008	-0.655693	6.94964e-009
1.22	0.997454	0.666665	-4.29501e+008	-0.644988	8.345e-009
1.23	0.997485	0.666666	-4.29501e+008	-0.211514	6.83664e-009
1.24	0.997315	0.666665	-4.29501e+008	-0.208117	1.02251e-008
1.25	0.997377	0.666665	-4.29501e+008	-0.6144	8.57339e-009
1.26	0.997253	0.666665	-4.29501e+008	-0.403124	1.11817e-008
1.27	0.997392	0.666665	-4.29501e+008	-0.396801	9.26158e-009
1.28	0.997377	0.666665	-4.29501e+008	0.195312	8.37245e-009
1.29	0.997222	0.666665	-4.29501e+008	0.192296	1.10767e-008
1.3	0.996466	0.666654	-4.29501e+008	0.189349	7.48504e-008
1.31	0.997361	0.666665	-4.29501e+008	-0.559408	7.01542e-009
1.32	0.997361	0.666665	-4.29501e+008	-0.183655	6.96227e-009
1.33	0.996944	0.666664	-4.29501e+008	-0.180903	1.39595e-008
1.34	0.997253	0.666665	-4.29501e+008	-0.178213	9.09234e-009
1.35	0.997238	0.666665	-4.29501e+008	-0.351166	1.06885e-008
1.36	0.996836	0.666663	-4.29501e+008	0	1.93934e-008
1.37	0.996852	0.666663	-4.29501e+008	-0.170494	2.15273e-008
1.38	0.99696	0.666664	-4.29501e+008	0	1.53434e-008
1.39	0.997052	0.666663	-4.29501e+008	-0.165623	1.78509e-008
1.4	0.997068	0.666664	-4.29501e+008	-0.163265	1.20776e-008
1.41	0.996867	0.666665	-4.29501e+008	0	9.94993e-009
1.42	0.996759	0.666664	-4.29501e+008	0.476096	1.55971e-008
1.43	0.996775	0.666664	-4.29501e+008	0.156487	1.43539e-008
1.44	0.996867	0.666664	-4.29501e+008	-0.154321	1.47041e-008
1.45	0.996759	0.666664	-4.29501e+008	0.3044	1.62599e-008
