Temp	Magnetism_1	Magnetism_2	Susceptibility_1	Susceptibility_2	Energy	Heat_Capacity	Heat_Capacity/Temp	Entropy	Prob3	Prob2	Prob1	Prob0	Prob_neg1	Prob_neg2	Prob_neg3
11.269	0.000420812	-0.000420812	7.02939e-005	7.02939e-005	-55.6999	5.56002	0.493391	4909.43	0	0	0.293862	0.412277	0.293862	0	0
11.27	0.000592778	-0.000592778	7.36829e-005	7.36829e-005	-55.5832	4.89641	0.434464	4909.43	0	0	0.293899	0.412201	0.293899	0	0
11.271	-0.00058197	0.00058197	7.54858e-005	7.54858e-005	-55.5399	4.84618	0.429969	4909.43	0	0	0.294092	0.411815	0.294092	0	0
11.272	-0.000209496	0.000209496	6.95853e-005	6.95853e-005	-56.3761	4.98556	0.442296	4909.43	0	0	0.293772	0.412455	0.293772	0	0
11.273	-0.000306474	0.000306474	7.41577e-005	7.41577e-005	-55.6654	5.30408	0.470511	4909.43	0	0	0.293928	0.412144	0.293928	0	0
11.274	0.000416511	-0.000416511	7.27543e-005	7.27543e-005	-55.9282	4.79356	0.425188	4909.43	0	0	0.29386	0.412279	0.29386	0	0
11.275	0.00119624	-0.00119624	7.19537e-005	7.19537e-005	-55.3776	5.08342	0.450858	4909.43	0	0	0.293903	0.412193	0.293903	0	0
11.276	-5.03531e-005	5.03531e-005	7.42662e-005	7.42662e-005	-58.3893	5.04756	0.447637	4909.43	0	0	0.293646	0.412709	0.293646	0	0
11.277	-0.000735457	0.000735457	7.23688e-005	7.23688e-005	-55.5478	5.271	0.467412	4909.43	0	0	0.293855	0.412291	0.293855	0	0
11.278	-0.000998886	0.000998886	7.25237e-005	7.25237e-005	-56.7345	4.77438	0.423336	4909.43	0	0	0.293785	0.41243	0.293785	0	0
11.279	0.000695301	-0.000695301	7.00257e-005	7.00257e-005	-54.4908	5.02905	0.445877	4909.43	0	0	0.293891	0.412218	0.293891	0	0
11.28	-0.000804681	0.000804681	7.18697e-005	7.18697e-005	-54.3155	4.74287	0.420467	4909.43	0	0	0.294196	0.411607	0.294196	0	0
11.281	0.000225516	-0.000225516	6.99168e-005	6.99168e-005	-56.2648	5.00352	0.443535	4909.43	0	0	0.2941	0.411799	0.2941	0	0
11.282	0.000488625	-0.000488625	7.25855e-005	7.25855e-005	-56.1973	5.34764	0.473998	4909.43	0	0	0.293997	0.412005	0.293997	0	0
11.283	0.000777077	-0.000777077	6.91132e-005	6.91132e-005	-58.8649	4.69825	0.416401	4909.43	0	0	0.293633	0.412733	0.293633	0	0
11.284	0.00054637	-0.00054637	7.41498e-005	7.41498e-005	-56.613	5.09132	0.451198	4909.43	0	0	0.293902	0.412195	0.293902	0	0
11.285	-0.0011847	0.0011847	7.03156e-005	7.03156e-005	-57.9002	4.9754	0.440886	4909.43	0	0	0.293833	0.412334	0.293833	0	0
11.286	-0.000421158	0.000421158	7.24996e-005	7.24996e-005	-56.372	4.78817	0.424257	4909.43	0	0	0.293782	0.412436	0.293782	0	0
11.287	-0.000729916	0.000729916	7.26525e-005	7.26525e-005	-57.165	5.22406	0.462839	4909.43	0	0	0.29367	0.412661	0.29367	0	0
11.288	1.63012e-005	-1.63012e-005	6.96576e-005	6.96576e-005	-57.2699	4.91022	0.434995	4909.43	0	0	0.293733	0.412534	0.293733	0	0
11.289	-0.00199106	0.00199106	7.40217e-005	7.40217e-005	-55.277	4.93974	0.437571	4909.43	0	0	0.294124	0.411752	0.294124	0	0
11.29	6.81531e-005	-6.81531e-005	7.05432e-005	7.05432e-005	-56.8605	4.80559	0.42565	4909.43	0	0	0.293898	0.412204	0.293898	0	0
11.291	0.000728069	-0.000728069	7.01436e-005	7.01436e-005	-56.1055	5.20633	0.461105	4909.43	0	0	0.29386	0.41228	0.29386	0	0
11.292	-0.000385746	0.000385746	7.34287e-005	7.34287e-005	-58.2846	4.8797	0.432138	4909.43	0	0	0.293604	0.412793	0.293604	0	0
11.293	0.000130993	-0.000130993	6.92582e-005	6.92582e-005	-54.4381	4.91338	0.435082	4909.43	0	0	0.294117	0.411765	0.294117	0	0
11.294	-0.00153141	0.00153141	7.1618e-005	7.1618e-005	-57.741	5.09634	0.451243	4909.43	0	0	0.294154	0.411692	0.294154	0	0
11.295	0.0012152	-0.0012152	7.11974e-005	7.11974e-005	-57.2953	4.91788	0.435404	4909.43	0	0	0.294018	0.411964	0.294018	0	0
11.296	-0.000337825	0.000337825	7.25712e-005	7.25712e-005	-57.1972	5.35353	0.473931	4909.43	0	0	0.294218	0.411564	0.294218	0	0
11.297	-0.000999862	0.000999862	7.17093e-005	7.17093e-005	-55.1246	5.11229	0.452535	4909.43	0	0	0.293636	0.412727	0.293636	0	0
11.298	-3.32494e-005	3.32494e-005	7.50846e-005	7.50846e-005	-56.4017	4.84368	0.42872	4909.43	0	0	0.293947	0.412106	0.293947	0	0
11.299	0.000883474	-0.000883474	7.20582e-005	7.20582e-005	-55.5789	5.33397	0.472074	4909.43	0	0	0.294149	0.411703	0.294149	0	0
11.3	-0.00107957	0.00107957	7.60744e-005	7.60744e-005	-56.302	4.76092	0.42132	4909.43	0	0	0.293831	0.412337	0.293831	0	0
11.301	-0.000380089	0.000380089	7.53922e-005	7.53922e-005	-56.9183	4.98424	0.441044	4909.43	0	0	0.293954	0.412093	0.293954	0	0
11.302	-0.00265832	0.00265832	7.62103e-005	7.62103e-005	-56.5315	4.91112	0.434535	4909.43	0	0	0.294163	0.411673	0.294163	0	0
11.303	0.000431615	-0.000431615	7.28203e-005	7.28203e-005	-56.6988	5.2374	0.463364	4909.43	0	0	0.29377	0.41246	0.29377	0	0
11.304	-0.000310175	0.000310175	7.28507e-005	7.28507e-005	-57.3155	4.9844	0.440941	4909.43	0	0	0.2942	0.411601	0.2942	0	0
11.305	0.000355286	-0.000355286	7.2084e-005	7.2084e-005	-53.5999	4.7074	0.4164	4909.43	0	0	0.294002	0.411997	0.294002	0	0
11.306	0.00131596	-0.00131596	7.27084e-005	7.27084e-005	-57.7525	4.88994	0.432509	4909.43	0	0	0.293509	0.412981	0.293509	0	0
11.307	4.27407e-006	-4.27407e-006	7.06259e-005	7.06259e-005	-55.7683	5.10482	0.451475	4909.43	0	0	0.294447	0.411106	0.294447	0	0
11.308	-0.000823993	0.000823993	6.89994e-005	6.89994e-005	-57.7848	4.86112	0.429883	4909.43	0	0	0.294109	0.411782	0.294109	0	0
11.309	-0.000410817	0.000410817	7.10781e-005	7.10781e-005	-56.6368	5.28624	0.467437	4909.43	0	0	0.293322	0.413356	0.293322	0	0
11.31	-0.000326057	0.000326057	7.16145e-005	7.16145e-005	-55.0942	4.77349	0.422059	4909.43	0	0	0.29428	0.41144	0.29428	0	0
11.311	-0.000355054	0.000355054	7.09046e-005	7.09046e-005	-54.013	5.15826	0.45604	4909.43	0	0	0.294229	0.411543	0.294229	0	0
11.312	-0.000185114	0.000185114	7.23577e-005	7.23577e-005	-57.999	4.815	0.425654	4909.43	0	0	0.293999	0.412001	0.293999	0	0
11.313	-8.47407e-006	8.47407e-006	7.42351e-005	7.42351e-005	-59.0994	4.77235	0.421847	4909.43	0	0	0.293996	0.412009	0.293996	0	0
11.314	0.000225689	-0.000225689	7.06179e-005	7.06179e-005	-56.5234	5.20905	0.460408	4909.43	0	0	0.293873	0.412253	0.293873	0	0
11.315	-0.000379296	0.000379296	7.26528e-005	7.26528e-005	-52.2956	5.23933	0.463043	4909.43	0	0	0.29446	0.411081	0.29446	0	0
11.316	2.46321e-005	-2.46321e-005	7.45889e-005	7.45889e-005	-56.2945	4.80249	0.424398	4909.43	0	0	0.293944	0.412112	0.293944	0	0
11.317	-0.000525126	0.000525126	7.47912e-005	7.47912e-005	-56.9839	4.97404	0.439519	4909.43	0	0	0.293752	0.412495	0.293752	0	0
11.318	-0.000542328	0.000542328	6.87015e-005	6.87015e-005	-54.5031	5.0024	0.441986	4909.43	0	0	0.293771	0.412457	0.293771	0	0
11.319	0.00236226	-0.00236226	7.57214e-005	7.57214e-005	-57.1554	4.82296	0.426094	4909.43	0	0	0.293854	0.412292	0.293854	0	0
11.32	0.00129004	-0.00129004	7.41492e-005	7.41492e-005	-53.9756	5.02394	0.443811	4909.43	0	0	0.294042	0.411917	0.294042	0	0
11.321	0.000184017	-0.000184017	6.75329e-005	6.75329e-005	-56.796	5.34859	0.472449	4909.43	0	0	0.294053	0.411894	0.294053	0	0
11.322	0.00202354	-0.00202354	6.99149e-005	6.99149e-005	-57.9667	4.92951	0.435392	4909.43	0	0	0.293789	0.412421	0.293789	0	0
11.323	-0.0020819	0.0020819	7.46069e-005	7.46069e-005	-57.5088	5.18538	0.457951	4909.43	0	0	0.293906	0.412188	0.293906	0	0
11.324	-0.000839783	0.000839783	7.40285e-005	7.40285e-005	-57.5418	4.87505	0.430506	4909.43	0	0	0.293175	0.41365	0.293175	0	0
11.325	-0.000846153	0.000846153	7.03414e-005	7.03414e-005	-57.171	5.08185	0.448729	4909.43	0	0	0.293918	0.412165	0.293918	0	0
11.326	0.000582709	-0.000582709	6.64715e-005	6.64715e-005	-54.5171	5.04968	0.445848	4909.43	0	0	0.293668	0.412663	0.293668	0	0
11.327	0.00139924	-0.00139924	7.14546e-005	7.14546e-005	-55.5897	4.71167	0.415968	4909.43	0	0	0.294012	0.411976	0.294012	0	0
11.328	0.000482472	-0.000482472	7.13961e-005	7.13961e-005	-57.327	4.78976	0.422825	4909.43	0	0	0.293988	0.412024	0.293988	0	0
11.329	-0.000254158	0.000254158	7.27684e-005	7.27684e-005	-55.6873	5.08286	0.44866	4909.43	0	0	0.293917	0.412167	0.293917	0	0
11.33	-0.000273714	0.000273714	7.11876e-005	7.11876e-005	-56.3697	4.89645	0.432166	4909.43	0	0	0.2941	0.411799	0.2941	0	0
11.331	-0.000411625	0.000411625	7.44409e-005	7.44409e-005	-56.5193	4.89052	0.431606	4909.43	0	0	0.293708	0.412584	0.293708	0	0
